ID_Properti|Tipe_Properti|Luas_Tanah|Harga_Jual|Sertifikat|Tahun_Bangun
PRP-001 | RUMAH | 120 m2 | Rp 1,5 Milyar | SHM | 2015
PRP-002 | apartemen | 45m2 | Rp 500 Juta | HGB | 2020
PRP-003 | RUKO | 100 m2 | 2,5 Milyar | SHM | 2018
PRP-001 | RUMAH | 120 m2 | Rp 1,5 Milyar | SHM | 2015
PRP-004 | rumah | 90 | Rp 800 Juta | SHM | 2010
PRP-005 | VILLA | 500 m2 | Rp 5 Milyar | HGB | 2022
PRP-006 | APARTEMEN | 35 m2 | 450 Juta | Strata Title | 2021
PRP-007 | Rumah | -150 m2 | Rp 1,2 Milyar | SHM | 2019
PRP-008 | Ruko | 120m2 | Rp 3 Milyar | HGB | NaN
PRP-009 | RUMAH | 200 m2 | Rp 2 Milyar | shm | 2017
PRP-010 | Apartemen | 50 m2 | Rp 600 Juta | HGB | 2018
PRP-011 | Ruko | NaN | Rp 1,8 Milyar | SHM | 2016
PRP-012 | VILLA | 1000 m2 | 10 Milyar | SHM | 2023
PRP-013 | rumah | 110 m2 | Rp 900 Juta | shm | 2014
PRP-014 | Apartemen | 40 m2 | Rp 550 Juta | Strata Title | 2020
PRP-015 | RUKO | 150 m2 | Rp 4 Milyar | HGB | 2015
PRP-016 | Rumah | 130 m2 | Rp 1,3 Milyar | SHM | 2021
PRP-017 | VILLA | 600 m2 | Rp 6 Milyar | SHM | NaN
PRP-018 | apartemen | 60 m2 | 750 Juta | HGB | 2019
PRP-019 | RUMAH | 140 m2 | Rp 1,4 Milyar | SHM | 2018
PRP-020 | Ruko | 110m2 | Rp 2,2 Milyar | SHM | 2020
PRP-013 | rumah | 110 m2 | Rp 900 Juta | shm | 2014
