Tweet_ID	Username	Teks_Tweet	Tanggal_Posting	Retweets	Likes
T001	@jokowi	Selamat pagi Indonesia! Mari bekerja. #SemangatPagi	01-Jan-2024	5.2K	15K
T002	@budi_santoso	Hari ini hujan lebat banget di Jakarta 🌧️	2024/01/02	150	1.2K
T003	@DataScienceID	Belajar Python dan Pandas sangat seru! 🔥 #DataScience	Jan 03 2024	2.1K	10.5K
T001	@jokowi	Selamat pagi Indonesia! Mari bekerja. #SemangatPagi	01-Jan-2024	5.2K	15K
T004	@Siti_A	Macet parah di Sudirman... Kapan ya ada solusi? #Jakarta	04/01/2024	-50	300
T005	@tech_update	Iphone 16 rilis besok! Siapkan dompet kalian 📱	2024-01-05	1M	5.5M
T006	@Ani_Budi	Lagi pengen makan sate padang dekat rumah.	06-Jan-2024	NaN	NaN
T007	@budi_santoso	Hujan lagi hari ini...	2024/01/07	20	150
T008	@crypto_king	Bitcoin to the moon! 🚀🚀🚀 $BTC	Jan 08 2024	15K	45.2K
T009	@InfoBMKG	Peringatan dini cuaca ekstrim di wilayah Jawa Barat.	2024-01-09	10.5K	20K
T010	@Andi_123	Ga kerasa udah mau weekend aja nih.	10/01/2024	5	10
T011	@DataScienceID	Tips Pandas: Gunakan .apply() untuk manipulasi teks yang kompleks.	11-Jan-2024	3.5K	12K
T012	@Joko_P	Ada yang tau tempat ngopi enak di Bandung?	2024-01-12	12	55
T013	@tech_update	Rumor: PS6 akan dirilis tahun 2027.	Jan 13 2024	500	2.5K
T014	@InfoBMKG	Gempa bumi berkekuatan 5.0 SR di Maluku.	14/01/2024	8.2K	11K
T015	@Siti_A	Kereta telat lagi hari ini... Hadeh 🤦‍♀️	2024-01-15	-15	45
T016	@jokowi	Peresmian jalan tol baru di Sumatera.	16-Jan-2024	4.1K	25K
T017	@crypto_king	Ethereum juga ikut naik tajam! $ETH	2024/01/17	8.5K	30K
T018	@Ani_Budi	Akhirnya kesampaian juga makan sate padang!	Jan 18 2024	10	80
T019	@Joko_P	Kopi di kafe ini mantap banget! ☕	19/01/2024	25	120
T011	@DataScienceID	Tips Pandas: Gunakan .apply() untuk manipulasi teks yang kompleks.	11-Jan-2024	3.5K	12K
T020	@bima_s	Selamat pagi semua!	2024-01-20	NaN	50
